;0;1;2;3;4;5
0;switch_greeting;switch_memory_recall;;;;
1;switch_greeting;switch_step_count;;;;
2;switch_greeting;switch_goal_setting;;;;
3;switch_greeting;switch_pa;;;;
5;switch_pa;switch_rating_confidence;;;;
6;switch_pa;switch_self_efficacy;;;;
8;switch_pa;switch_rating_confidence;;;;
9;switch_pa;switch_rating_importance;;;;
10;switch_step_count;switch_rating_confidence;;;;
11;switch_step_count;switch_self_efficacy;;;;
14;switch_step_count;switch_rating_importance;;;;
15;switch_memory_recall;switch_goal_setting;;;;
16;switch_memory_recall;switch_rating_importance;;;;
18;switch_memory_recall;switch_step_count;;;;
24;switch_goal_setting;;;;;
25;switch_rating_importance;switch_rating_confidence;;;;
29;switch_rating_importance;switch_self_efficacy;;;;
31;switch_rating_confidence;switch_self_efficacy;;;;
34;switch_rating_confidence;switch_motivator;;;;
35;switch_self_efficacy;switch_motivator;;;;
40;switch_motivator;;;;;
45;switch_greeting;switch_step_count;switch_rating_confidence;switch_self_efficacy;;
47;switch_greeting;switch_memory_recall;switch_goal_setting;;;
48;switch_greeting;switch_pa;switch_rating_importance;switch_rating_confidence;;
49;switch_greeting;switch_pa;switch_self_efficacy;switch_motivator;;
50;switch_pa;switch_rating_importance;switch_rating_confidence;switch_self_efficacy;;
51;switch_pa;switch_self_efficacy;switch_motivator;;;
55;switch_step_count;switch_rating_confidence;switch_self_efficacy;switch_motivator;;
56;switch_step_count;switch_rating_confidence;switch_motivator;;;
57;switch_step_count;switch_self_efficacy;switch_motivator;;;
58;switch_step_count;switch_rating_importance;switch_rating_confidence;switch_motivator;;
59;switch_step_count;switch_rating_importance;switch_self_efficacy;switch_motivator;;
60;switch_memory_recall;switch_rating_importance;switch_rating_confidence;switch_self_efficacy;;
61;switch_memory_recall;switch_rating_importance;switch_rating_confidence;switch_motivator;;
63;switch_memory_recall;switch_goal_setting;;;;
65;switch_goal_setting;;;;;
70;switch_rating_importance;switch_rating_confidence;switch_self_efficacy;switch_motivator;;
71;switch_rating_importance;switch_rating_confidence;switch_motivator;;;
74;switch_rating_importance;switch_self_efficacy;switch_motivator;;;
77;switch_rating_confidence;switch_motivator;;;;
78;switch_rating_confidence;switch_self_efficacy;switch_motivator;;;
84;switch_self_efficacy;switch_motivator;;;;
89;switch_motivator;;;;;
90;switch_greeting;switch_pa;switch_rating_importance;switch_rating_confidence;switch_motivator;
91;switch_greeting;switch_memory_recall;switch_rating_importance;switch_rating_confidence;switch_self_efficacy;switch_motivator
92;switch_greeting;switch_step_count;switch_rating_confidence;switch_motivator;;
93;switch_greeting;switch_pa;switch_rating_importance;switch_self_efficacy;switch_motivator;
94;switch_greeting;switch_pa;switch_rating_confidence;switch_motivator;;
95;switch_pa;switch_rating_importance;switch_rating_confidence;switch_self_efficacy;switch_motivator;
96;switch_pa;switch_rating_importance;switch_self_efficacy;switch_motivator;;
97;switch_pa;switch_rating_importance;switch_rating_confidence;switch_motivator;;
99;switch_pa;switch_self_efficacy;switch_motivator;;;
100;switch_step_count;switch_self_efficacy;switch_motivator;;;
101;switch_step_count;switch_rating_importance;switch_self_efficacy;switch_motivator;;
102;switch_step_count;switch_rating_confidence;switch_self_efficacy;switch_motivator;;
105;switch_memory_recall;switch_rating_importance;switch_self_efficacy;switch_motivator;;
107;switch_memory_recall;switch_goal_setting;;;;
108;switch_memory_recall;switch_pa;switch_rating_confidence;switch_motivator;;
109;switch_memory_recall;switch_rating_importance;switch_rating_confidence;switch_motivator;;
115;switch_rating_importance;switch_rating_confidence;switch_motivator;;;
118;switch_rating_importance;switch_self_efficacy;switch_motivator;;;
119;switch_rating_importance;switch_rating_confidence;switch_self_efficacy;switch_motivator;;
120;switch_rating_confidence;switch_motivator;;;;
122;switch_rating_confidence;switch_self_efficacy;switch_motivator;;;
123;switch_rating_confidence;switch_motivator;;;;
129;switch_self_efficacy;switch_motivator;;;;
134;switch_motivator;;;;;
